,,,Overall,Overall,Overall,Overall,Overall,search,search,search,search,search,search,search,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Control,Control,Control,Control,Control,Control,Control,
Rank,Player,team,K,D,KD,+/-,M,K,D,KD,+/-,K/M,FK,M,K,D,KD,+/-,K/M,TM,M,K,D,KD,+/-,K/M,CP,M,year
26,Insight,TOR,272,275,0.989,-3,17,40,27,1.482,13,6.7,7,6,155,162,0.957,-7,22.1,465,7,77,86,0.895,-9,19.3,16,4,2025
27,Vivid,CAR,267,275,0.971,-8,16,20,33,0.606,-13,4,3,5,156,151,1.033,5,22.3,566,7,91,91,1,0,22.8,18,4,2025
28,Mack,C9NY,306,315,0.971,-9,16,30,36,0.833,-6,6,4,5,190,178,1.067,12,27.1,403,7,86,101,0.852,-15,21.5,11,4,2025
29,Cellium,ATL,273,283,0.965,-10,16,35,35,1,0,7,7,5,147,148,0.993,-1,21,477,7,91,100,0.91,-9,22.8,17,4,2025
30,Huke,TX,169,182,0.929,-13,9,20,14,1.429,6,6.7,2,3,108,116,0.931,-8,27,188,4,41,52,0.789,-11,20.5,2,2,2025
31,MettalZ,MIA,310,325,0.954,-15,18,32,46,0.696,-14,4.6,8,7,192,199,0.965,-7,27.4,416,7,86,80,1.075,6,21.5,24,4,2025
32,Nastie,VAN,325,341,0.953,-16,19,47,42,1.119,5,6.7,9,7,204,221,0.923,-17,25.5,453,8,74,78,0.949,-4,18.5,10,4,2025
33,Purj,BOS,364,381,0.955,-17,20,60,56,1.071,4,7.5,13,8,228,241,0.946,-13,28.5,336,8,76,84,0.905,-8,19,6,4,2025
34,PaulEhx,MIN,337,354,0.952,-17,18,40,41,0.976,-1,6.7,1,6,213,235,0.906,-22,26.6,468,8,84,78,1.077,6,21,21,4,2025
35,Kremp,C9NY,288,306,0.941,-18,16,39,36,1.083,3,7.8,12,5,171,178,0.961,-7,24.4,244,7,78,92,0.848,-14,19.5,4,4,2025
36,04,VAN,332,351,0.946,-19,19,42,51,0.824,-9,6,7,7,202,218,0.927,-16,25.3,358,8,88,82,1.073,6,22,13,4,2025
37,Abuzah,VAN,327,350,0.934,-23,19,38,54,0.704,-16,5.4,8,7,212,224,0.946,-12,26.5,430,8,77,72,1.069,5,19.3,21,4,2025
38,Lucky,MIA,283,306,0.925,-23,18,37,46,0.804,-9,5.3,5,7,166,189,0.878,-23,23.7,570,7,80,71,1.127,9,20,24,4,2025
39,Gio,MIN,329,354,0.929,-25,18,40,36,1.111,4,6.7,12,6,213,231,0.922,-18,26.6,359,8,76,87,0.874,-11,19,12,4,2025
40,Roxas,VGS,232,264,0.879,-32,14,28,27,1.037,1,7,1,4,122,160,0.763,-38,20.3,296,6,82,77,1.065,5,20.5,14,4,2025
41,Exnid,VGS,252,284,0.887,-32,14,21,28,0.75,-7,5.3,3,4,139,164,0.848,-25,23.2,226,6,92,92,1,0,23,7,4,2025
42,Drazah,ATL,285,321,0.888,-36,16,22,36,0.611,-14,4.4,4,5,173,167,1.036,6,24.7,231,7,90,118,0.763,-28,22.5,9,4,2025
43,Estreal,MIN,313,353,0.887,-40,18,43,41,1.049,2,7.2,11,6,188,224,0.839,-36,23.5,510,8,82,88,0.932,-6,20.5,25,4,2025
44,Priestahh,M8s,323,364,0.887,-41,18,28,43,0.651,-15,4.7,7,6,203,214,0.949,-11,25.4,437,8,92,107,0.86,-15,23,20,4,2025
45,Kenny,TX,303,348,0.871,-45,17,32,39,0.821,-7,5.3,6,6,167,195,0.856,-28,23.9,496,7,104,114,0.912,-10,26,13,4,2025
46,Hicksy,VAN,316,366,0.863,-50,19,49,49,1,0,7,6,7,188,232,0.81,-44,23.5,466,8,79,85,0.929,-6,19.8,12,4,2025
47,Attach,C9NY,245,302,0.811,-57,16,36,32,1.125,4,7.2,4,5,140,180,0.778,-40,20,334,7,69,90,0.767,-21,17.3,7,4,2025
48,KingAbody,VGS,212,293,0.724,-81,14,20,31,0.645,-11,5,6,4,120,162,0.741,-42,20,269,6,72,100,0.72,-28,18,3,4,2025
49,Sib,C9NY,244,334,0.731,-90,16,31,40,0.775,-9,6.2,4,5,135,191,0.707,-56,19.3,358,7,78,103,0.757,-25,19.5,6,4,2025
